fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,Wine color,quality
6.6,0.4,0.3,5.3,0.038,20.0,0.99204,3.36,0.73,12.6,White,good
6.7,0.12,0.36,2.3,0.039,43.0,0.99229,3.07,0.67,10.1,White,good
6.1,0.43,0.35,9.1,0.059,83.0,0.9971,3.37,0.5,8.5,White,bad
6.7,0.17,0.42,10.4,0.038,85.0,0.99628,3.04,0.44,8.9,White,good
6.5,0.37,0.33,3.9,0.027,40.0,0.9906,3.28,0.39,12.7,White,good
6.0,0.32,0.46,1.5,0.05,56.0,0.99308,3.24,0.49,9.6,White,bad
8.0,0.32,0.36,4.6,0.042,56.0,0.9928,3.29,0.47,12.0,White,good
6.7,0.26,0.29,5.8,0.025,26.0,0.9929,3.28,0.53,11.0,White,good
7.1,0.3,0.46,1.5,0.066,29.0,0.9906,3.12,0.54,12.7,White,good
5.6,0.34,0.3,6.9,0.038,23.0,0.99266,3.25,0.49,11.1,White,good
7.4,0.2,0.35,6.1,0.025,10.0,0.99244,2.79,0.52,10.9,White,bad
7.8,0.28,0.34,1.6,0.028,32.0,0.9901,3.0,0.38,12.1,White,good
6.5,0.36,0.32,1.1,0.031,13.0,0.9916,3.1,0.46,10.6,White,bad
6.9,0.28,0.31,7.2,0.04,47.0,0.9946,3.29,0.57,10.6,White,good
7.2,0.2,0.25,4.5,0.044,31.0,0.9949,3.23,0.36,9.4,White,bad
8.8,0.27,0.39,2.0,0.1,20.0,0.99546,3.15,0.69,11.2,Red,good
8.1,0.4,0.32,7.9,0.031,23.0,0.99176,3.05,0.46,13.3,White,good
6.8,0.32,0.21,2.2,0.044,15.0,0.9932,3.17,0.39,9.4,White,good
6.5,0.13,0.27,2.6,0.035,32.0,0.9914,3.21,0.76,11.3333333333333,White,good
7.0,0.16,0.25,14.3,0.044,27.0,0.998,2.91,0.46,9.2,White,good
6.5,0.21,0.37,2.5,0.048,70.0,0.9917,3.33,0.75,11.4,White,good
8.2,0.31,0.43,7.0,0.047,18.0,0.99628,3.23,0.64,10.6,White,bad
6.5,0.29,0.25,10.6,0.039,32.0,0.9962,3.31,0.34,10.1,White,good
7.8,0.31,0.4,1.6,0.027,20.0,0.9911,3.15,0.48,11.9,White,good
6.9,0.32,0.15,8.1,0.046,51.0,0.9958,3.13,0.45,8.9,White,bad
7.0,0.36,0.35,2.5,0.048,67.0,0.99146,3.05,0.56,11.1,White,good
7.2,0.22,0.35,5.5,0.054,37.0,0.99474,3.08,0.5,10.3,White,bad
6.0,0.26,0.33,4.35,0.04,15.0,0.98934,3.29,0.5,12.7,White,good
7.2,0.2,0.22,1.6,0.044,17.0,0.99471,3.37,0.53,10.0,White,bad
7.3,0.32,0.23,13.7,0.05,49.0,0.9985,3.2,0.46,8.7,White,bad
6.4,0.34,0.1,1.1,0.048,19.0,0.9927,3.21,0.38,9.8,White,bad
5.4,0.17,0.27,2.7,0.049,28.0,0.99224,3.46,0.55,10.3,White,good
7.3,0.28,0.35,1.6,0.054,31.0,0.99178,3.18,0.47,10.7,White,bad
6.7,0.15,0.32,7.9,0.034,17.0,0.99512,3.29,0.31,10.0,White,good
6.6,0.29,0.31,3.9,0.027,39.0,0.99035,3.24,0.6,12.6,White,good
6.1,0.27,0.31,3.9,0.034,42.0,0.99218,3.24,0.46,10.9,White,good
7.3,0.22,0.49,9.9,0.031,48.0,0.9937,3.01,0.28,11.2,White,good
7.1,0.26,0.37,5.5,0.025,31.0,0.99082,3.06,0.33,12.6,White,good
7.2,0.28,0.54,16.7,0.045,54.0,0.999,3.08,0.49,9.5,White,good
6.4,0.22,0.49,7.5,0.054,42.0,0.9948,3.27,0.52,10.1,White,good
6.9,0.2,0.34,1.9,0.043,25.0,0.9935,3.31,0.6,10.1,White,bad
5.4,0.46,0.15,2.1,0.026,29.0,0.98953,3.39,0.77,13.4,White,good
7.6,0.54,0.23,2.0,0.029,13.0,0.9931,3.04,0.33,10.4,White,bad
6.2,0.3,0.28,1.6,0.036,28.0,0.988245,3.14,0.41,13.3,White,good
8.4,0.62,0.09,2.2,0.084,11.0,0.9964,3.15,0.66,9.8,Red,bad
7.0,0.42,0.35,1.6,0.088,16.0,0.9961,3.34,0.55,9.2,Red,bad
6.1,1.1,0.16,4.4,0.033,8.0,0.99058,3.35,0.47,12.4,White,bad
8.5,0.23,0.28,11.1,0.033,30.0,0.99507,3.03,0.39,10.5,White,good
5.4,0.45,0.27,6.4,0.033,20.0,0.98944,3.22,0.27,13.4,White,good
5.9,0.415,0.02,0.8,0.038,22.0,0.9932,3.36,0.36,9.3,White,bad
6.3,0.34,0.28,14.7,0.047,49.0,0.9977,3.23,0.46,9.5,White,bad
7.9,0.3,0.27,8.5,0.036,20.0,0.9939,2.96,0.46,11.7,White,good
7.2,0.45,0.15,2.0,0.078,10.0,0.99609,3.29,0.51,9.9,Red,good
6.5,0.115,0.29,1.95,0.038,73.0,0.989,3.12,0.25,12.9,White,good
6.9,0.19,0.35,13.5,0.038,49.0,0.99546,3.0,0.63,10.7,White,good
7.2,0.15,0.33,1.1,0.027,16.0,0.9937,3.37,0.4,9.9,White,bad
6.4,0.3,0.33,5.2,0.05,30.0,0.99304,3.26,0.58,11.1,White,bad
9.5,0.59,0.44,2.3,0.071,21.0,0.9992,3.46,0.63,9.5,Red,bad
6.3,0.36,0.5,8.3,0.053,51.0,0.9955,3.2,0.51,9.6,White,good
6.7,0.17,0.37,2.0,0.039,34.0,0.9922,3.26,0.6,10.8,White,good
7.4,0.27,0.48,1.1,0.047,17.0,0.9914,3.19,0.49,11.6,White,good
6.5,0.28,0.34,4.6,0.054,22.0,0.99193,3.2,0.46,12.0,White,good
6.1,0.36,0.33,1.1,0.05,24.0,0.9927,3.15,0.78,9.5,White,good
8.1,0.22,0.43,1.5,0.044,28.0,0.9938,3.22,0.45,11.0,White,good
6.7,0.31,0.31,9.9,0.04,10.0,0.9953,3.46,0.55,11.4,White,bad
11.2,0.4,0.5,2.0,0.099,19.0,0.99783,3.1,0.58,10.4,Red,bad
6.8,0.26,0.33,1.5,0.047,44.0,0.9928,3.12,0.44,10.5,White,good
7.6,0.23,0.26,15.3,0.067,32.0,0.9986,3.03,0.44,9.2,White,bad
9.0,0.38,0.41,2.4,0.103,6.0,0.99604,3.13,0.58,11.9,Red,good
7.6,0.38,0.2,3.4,0.046,9.0,0.9944,3.15,0.41,9.4,White,bad
6.1,0.36,0.16,6.4,0.037,36.0,0.9944,3.17,0.62,9.9,White,good
9.4,0.685,0.11,2.7,0.077,6.0,0.9984,3.19,0.7,10.1,Red,good
7.9,0.34,0.42,2.0,0.086,8.0,0.99546,3.35,0.6,11.4,Red,good
6.4,0.15,0.44,1.2,0.043,67.0,0.9907,3.14,0.73,11.2,White,good
8.8,0.66,0.26,1.7,0.074,4.0,0.9971,3.15,0.74,9.2,Red,bad
8.3,0.21,0.41,2.2,0.05,24.0,0.994,2.85,0.45,9.5,White,bad
8.1,0.825,0.24,2.1,0.084,5.0,0.9972,3.37,0.77,10.7,Red,good
7.5,0.26,0.31,1.6,0.032,36.0,0.99044,2.97,0.43,11.9,White,good
7.8,0.965,0.6,65.8,0.074,8.0,1.03898,3.39,0.69,11.7,White,good
6.5,0.39,0.35,1.6,0.049,10.0,0.99516,3.35,0.51,9.7,White,bad
7.4,0.32,0.22,1.7,0.051,50.0,0.9955,3.28,0.69,8.9,White,bad
7.2,0.29,0.4,7.6,0.024,56.0,0.9928,3.04,0.32,11.5,White,good
7.2,0.19,0.31,1.4,0.046,37.0,0.9939,3.34,0.57,10.2,White,good
7.2,0.21,0.41,1.3,0.036,33.0,0.992,3.17,0.51,10.4,White,bad
6.2,0.39,0.43,2.0,0.071,14.0,0.99428,3.45,0.87,11.2,Red,good
6.1,0.3,0.3,2.1,0.031,50.0,0.9895,3.39,0.43,12.7,White,good
6.4,0.29,0.18,15.0,0.04,21.0,0.99736,3.14,0.5,9.2,White,bad
7.8,0.735,0.08,2.4,0.092,10.0,0.9974,3.24,0.71,9.8,Red,good
7.7,0.64,0.21,2.2,0.077,32.0,0.9956,3.27,0.45,9.9,Red,bad
7.4,0.965,0.0,2.2,0.088,16.0,0.99756,3.58,0.67,10.2,Red,bad
6.2,0.26,0.32,15.3,0.031,64.0,0.99835,3.31,0.61,9.4,White,bad
7.5,0.32,0.24,4.6,0.053,8.0,0.9958,3.14,0.5,9.1,White,bad
6.6,0.29,0.31,3.9,0.027,39.0,0.99035,3.24,0.6,12.6,White,good
7.2,0.34,0.44,4.2,0.047,51.0,0.991,3.01,0.76,12.3,White,good
7.6,0.39,0.22,2.8,0.036,19.0,0.9926,3.03,0.29,10.2,White,bad
7.7,0.16,0.36,5.9,0.054,25.0,0.99578,3.25,0.54,10.2,White,good
6.8,0.24,0.38,8.3,0.045,50.0,0.99578,3.15,0.5,9.5,White,good
7.7,0.18,0.3,1.2,0.046,49.0,0.99413,3.03,0.38,9.3,White,bad
6.0,0.24,0.28,3.95,0.038,61.0,0.99146,3.3,0.54,11.3,White,good
7.9,0.3,0.6,1.85,0.048,13.0,0.99331,3.24,0.49,11.85,White,bad
9.8,0.44,0.47,2.5,0.063,9.0,0.9981,3.24,0.65,10.8,Red,good
6.7,0.34,0.3,15.6,0.054,51.0,0.9982,3.19,0.49,9.3,White,bad
6.2,0.64,0.09,2.5,0.081,15.0,0.99538,3.57,0.63,12.0,Red,bad
9.1,0.28,0.49,2.0,0.059,10.0,0.9958,3.15,0.46,10.1,White,bad
6.5,0.21,0.35,5.7,0.043,47.0,0.99392,3.24,0.5,10.1,White,good
7.5,0.725,0.04,1.5,0.076,8.0,0.99508,3.26,0.53,9.6,Red,bad
7.5,0.27,0.36,7.0,0.036,45.0,0.9939,3.03,0.33,11.0,White,bad
6.2,0.29,0.26,13.1,0.046,55.0,0.99745,3.16,0.41,9.6,White,good
7.2,0.62,0.06,2.7,0.077,15.0,0.99746,3.51,0.54,9.5,Red,bad
7.1,0.68,0.0,2.3,0.087,17.0,0.99783,3.45,0.53,9.5,Red,bad
9.4,0.59,0.14,2.0,0.084,25.0,0.9981,3.14,0.56,9.7,Red,bad
5.9,0.27,0.27,9.0,0.051,43.0,0.9941,3.25,0.53,10.7,White,good
6.4,0.35,0.28,1.1,0.055,9.0,0.99405,3.42,0.5,9.1,White,good
7.1,0.22,0.32,16.9,0.056,49.0,0.9998,3.37,0.38,9.6,White,good
8.2,0.52,0.34,1.2,0.042,18.0,0.99366,3.24,0.39,10.6,White,bad
6.1,0.22,0.25,12.1,0.035,54.0,0.99481,3.21,0.4,10.7,White,bad
8.7,0.46,0.31,2.5,0.126,24.0,0.99746,3.1,0.74,9.6,Red,bad
8.0,0.32,0.36,4.6,0.042,56.0,0.9928,3.29,0.47,12.0,White,good
6.0,0.2,0.25,2.0,0.041,30.0,0.99078,3.27,0.56,11.1,White,good
6.9,0.24,0.33,1.7,0.035,47.0,0.99,3.26,0.4,12.6,White,good
7.0,0.32,0.35,1.5,0.039,24.0,0.9918,3.17,0.64,12.2,White,good
6.1,0.125,0.25,3.3,0.04,10.0,0.9934,3.54,0.59,10.1,White,good
5.9,0.5,0.05,2.6,0.054,36.0,0.9948,3.43,0.5,9.2,White,good
6.2,0.26,0.19,3.4,0.049,47.0,0.9924,3.14,0.43,10.4,White,good
8.1,0.78,0.23,2.6,0.059,5.0,0.997,3.37,0.56,11.3,Red,bad
6.9,0.29,0.32,5.8,0.04,16.0,0.993,3.04,0.58,11.2,White,bad
6.3,0.14,0.39,1.2,0.044,26.0,0.992,3.26,0.53,10.3,White,good
8.0,0.19,0.36,1.8,0.05,16.0,0.9936,3.15,0.45,9.8,White,good
6.1,0.38,0.47,1.4,0.051,59.0,0.99309,3.24,0.5,9.6,White,bad
9.8,0.37,0.39,2.5,0.079,28.0,0.99729,3.16,0.59,9.8,Red,bad
8.1,0.17,0.44,14.1,0.053,43.0,1.0006,3.28,0.75,8.8,White,good
5.7,0.22,0.33,1.9,0.036,37.0,0.98945,3.26,0.58,12.4,White,good
6.2,0.31,0.26,4.8,0.037,36.0,0.9928,3.21,0.41,10.4,White,good
6.7,0.31,0.32,14.5,0.038,6.0,0.99412,3.14,0.34,12.5,White,bad
9.9,0.35,0.38,1.5,0.058,31.0,0.99676,3.26,0.82,10.6,Red,good
6.4,0.22,0.3,11.2,0.046,53.0,0.99479,3.21,0.34,10.8,White,bad
5.6,0.915,0.0,2.1,0.041,17.0,0.99346,3.68,0.73,11.4,Red,bad
7.2,0.24,0.27,1.4,0.038,31.0,0.9927,3.15,0.46,10.3,White,good
6.4,0.42,0.09,2.3,0.054,34.0,0.99724,3.41,0.68,10.4,Red,good
6.1,0.25,0.28,10.0,0.055,56.0,0.994,3.22,0.35,10.9,White,good
6.6,0.27,0.25,1.2,0.033,36.0,0.98918,3.16,0.37,12.4,White,good
8.5,0.47,0.27,1.9,0.058,18.0,0.99518,3.16,0.85,11.1,Red,good
6.2,0.36,0.26,13.2,0.051,54.0,0.9976,3.25,0.46,9.0,White,bad
7.4,0.2,1.66,2.1,0.022,34.0,0.99165,3.26,0.55,12.2,White,good
5.6,0.16,0.27,1.4,0.044,53.0,0.9918,3.28,0.37,10.1,White,good
7.1,0.69,0.04,2.1,0.068,19.0,0.99712,3.44,0.67,9.8,Red,bad
6.5,0.36,0.28,3.2,0.037,29.0,0.9908,3.25,0.65,12.4,White,good
8.0,0.34,0.49,9.0,0.033,39.0,0.9936,3.13,0.38,12.3,White,good
10.4,0.55,0.23,2.7,0.091,18.0,0.9994,3.22,0.64,10.3,Red,good
5.9,0.21,0.24,12.1,0.044,53.0,0.9969,3.25,0.39,9.5,White,bad
6.8,0.19,0.4,9.85,0.055,41.0,0.99532,2.98,0.56,10.5,White,good
7.9,0.29,0.31,7.35,0.034,37.0,0.9938,3.06,0.31,10.8,White,bad
8.3,0.42,0.62,19.25,0.04,41.0,1.0002,2.98,0.67,9.7,White,bad
10.6,0.5,0.45,2.6,0.119,34.0,0.99708,3.23,0.72,10.9,Red,good
6.9,0.43,0.28,9.4,0.056,29.0,0.99594,3.17,0.43,9.4,White,bad
5.2,0.285,0.29,5.15,0.035,64.0,0.9895,3.19,0.34,12.4,White,good
6.9,0.25,0.4,1.3,0.038,22.0,0.9901,3.03,0.39,11.4,White,good
7.1,0.31,0.25,11.2,0.048,32.0,0.99663,3.14,0.4,9.5,White,bad
6.1,0.26,0.51,2.2,0.05,61.0,0.9929,3.08,0.6,9.8,White,good
6.2,0.37,0.24,6.1,0.032,19.0,0.98934,3.04,0.26,13.4,White,good
7.1,0.47,0.0,2.2,0.067,7.0,0.99517,3.4,0.58,10.9,Red,bad
6.7,0.34,0.31,16.4,0.051,20.0,0.99834,3.06,0.54,9.1,White,bad
7.3,0.31,0.25,6.65,0.032,30.0,0.99244,2.9,0.37,11.1,White,bad
8.2,0.28,0.6,3.0,0.104,10.0,0.99828,3.39,0.68,10.6,Red,bad
6.6,0.31,0.28,1.4,0.035,28.0,0.98836,3.0,0.4,13.2,White,good
8.0,0.48,0.34,2.2,0.073,16.0,0.9936,3.28,0.66,12.4,Red,good
6.7,0.4,0.22,8.8,0.052,24.0,0.99576,3.22,0.45,9.4,White,bad
10.8,0.26,0.45,3.3,0.06,20.0,0.9972,3.13,0.54,9.6,Red,bad
5.8,0.13,0.22,12.7,0.058,24.0,0.9956,3.32,0.42,11.7,White,good
5.0,0.24,0.34,1.1,0.034,49.0,0.98774,3.32,0.32,13.1,White,good
6.2,0.35,0.03,1.2,0.064,29.0,0.9934,3.22,0.54,9.1,White,bad
7.7,0.35,0.46,11.8,0.088,61.0,0.99786,2.86,0.47,9.0,White,bad
6.3,0.32,0.32,1.5,0.03,24.0,0.98923,3.21,0.42,13.0,White,bad
7.4,0.29,0.29,1.6,0.045,53.0,0.9936,3.34,0.68,10.5,White,good
7.2,0.4,0.38,2.2,0.03,40.0,0.99075,3.27,0.46,12.6,White,good
7.5,0.23,0.3,1.2,0.03,27.0,0.99192,3.05,0.68,10.5,White,bad
7.5,0.41,0.15,3.7,0.104,29.0,0.99786,3.14,0.58,9.1,Red,bad
6.1,0.28,0.27,4.7,0.03,56.0,0.99042,3.16,0.42,12.5,White,good
8.3,0.705,0.12,2.6,0.092,12.0,0.9994,3.51,0.72,10.0,Red,bad
7.8,0.43,0.49,13.0,0.033,37.0,0.9955,3.14,0.35,11.3,White,good
8.2,0.22,0.3,1.8,0.047,47.0,0.9933,3.13,0.5,10.2,White,good
7.9,0.34,0.44,6.5,0.027,47.0,0.99124,2.96,0.37,12.5,White,good
8.4,0.62,0.09,2.2,0.084,11.0,0.9964,3.15,0.66,9.8,Red,bad
6.5,0.29,0.31,1.7,0.035,24.0,0.99053,3.27,0.69,11.4,White,good
11.9,0.58,0.58,1.9,0.071,5.0,0.998,3.09,0.63,10.0,Red,good
8.4,0.3,0.25,17.75,0.047,25.0,1.00016,2.98,0.66,9.1,White,bad
8.3,0.28,0.45,7.8,0.059,32.0,0.9972,3.33,0.77,11.2,White,good
6.4,0.16,0.31,5.3,0.043,42.0,0.99455,3.35,0.47,10.5,White,bad
8.3,0.655,0.12,2.3,0.083,15.0,0.9966,3.17,0.66,9.8,Red,bad
8.9,0.3,0.35,4.6,0.032,32.0,0.99458,3.15,0.45,11.5,White,good
6.5,0.37,0.33,3.9,0.027,40.0,0.9906,3.28,0.39,12.7,White,good
6.5,0.28,0.29,2.7,0.038,26.0,0.9912,3.32,0.41,11.6,White,good
5.7,0.22,0.22,16.65,0.044,39.0,0.99855,3.24,0.48,9.0,White,good
6.0,0.27,0.31,5.0,0.043,54.0,0.9924,3.28,0.52,11.0,White,good
5.7,0.1,0.27,1.3,0.047,21.0,0.9928,3.27,0.46,9.5,White,bad
7.7,0.28,0.58,12.1,0.046,60.0,0.9983,3.08,0.46,8.9,White,bad
9.1,0.37,0.32,2.1,0.064,4.0,0.99576,3.3,0.8,11.2,Red,good
6.2,0.46,0.29,2.1,0.074,32.0,0.99578,3.33,0.62,9.8,Red,bad
6.5,0.26,0.34,1.4,0.04,25.0,0.99216,3.29,0.46,10.7,White,bad
6.8,0.15,0.32,8.8,0.058,24.0,0.9972,3.4,0.4,8.8,White,good
8.2,0.37,0.36,1.0,0.034,17.0,0.9906,3.04,0.32,11.7,White,good
5.8,0.17,0.36,1.3,0.036,11.0,0.99202,3.43,0.68,10.4,White,good
7.6,0.2,0.26,4.5,0.086,37.0,0.9963,3.15,0.42,9.2,White,bad
8.5,0.25,0.31,2.8,0.032,11.0,0.99189,3.06,0.44,11.5,White,good
7.0,0.3,0.38,14.9,0.032,60.0,0.9983,3.18,0.61,9.3,White,good
6.9,0.36,0.28,13.55,0.048,51.0,0.99782,3.0,0.6,9.5,White,good
7.2,0.3,0.3,8.1,0.05,40.0,0.99652,3.15,0.49,9.1,White,good
6.9,0.22,0.31,6.3,0.029,41.0,0.99326,3.08,0.49,10.8,White,good
7.4,0.18,0.3,8.8,0.064,26.0,0.9961,2.94,0.56,9.3,White,bad
5.2,0.36,0.02,1.6,0.031,24.0,0.9896,3.44,0.35,12.2,White,good
6.9,0.4,0.43,6.2,0.065,42.0,0.99552,3.11,0.53,9.4,White,bad
8.0,0.45,0.23,2.2,0.094,16.0,0.9962,3.21,0.49,10.2,Red,good
6.7,0.26,0.29,5.8,0.025,26.0,0.9929,3.28,0.53,11.0,White,good
7.3,0.28,0.54,12.9,0.049,62.0,0.9984,3.06,0.45,9.1,White,good
6.6,0.24,0.29,2.0,0.023,19.0,0.99,3.25,0.45,12.5,White,good
6.6,0.54,0.21,16.3,0.055,41.0,0.9986,3.35,0.54,10.4,White,good
6.2,0.65,0.06,1.6,0.05,6.0,0.99348,3.57,0.54,11.95,Red,bad
6.9,0.33,0.62,7.5,0.038,46.0,0.99143,3.23,0.43,13.4,White,good
7.2,0.2,0.25,4.5,0.044,31.0,0.9949,3.23,0.36,9.4,White,bad
6.4,0.16,0.37,1.5,0.037,27.0,0.99345,3.38,0.5,9.8,White,good
7.8,0.43,0.32,2.8,0.08,29.0,0.9974,3.31,0.64,10.3,Red,bad
7.8,0.27,0.34,1.6,0.046,27.0,0.9927,3.05,0.45,10.5,White,good
6.7,0.18,0.28,10.2,0.039,29.0,0.99469,3.11,0.45,10.9,White,good
6.4,0.27,0.17,8.4,0.044,60.0,0.99578,3.21,0.47,9.4,White,bad
6.0,0.35,0.46,0.9,0.033,9.0,0.98934,3.24,0.35,12.1,White,bad
6.4,0.29,0.3,6.5,0.209,62.0,0.99478,3.1,0.4,9.4,White,bad
7.0,0.35,0.17,1.1,0.049,7.0,0.99297,3.13,0.36,9.7,White,good
